SampleID	JobID	WallTime	MemUsed	State	Log
BMT121D0	11081303	00:12:47	7.36 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT121D0.11081303.log
BMT121D15	11081310	00:20:47	33.79 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT121D15.11081310.log
BMT121D22	11081317	00:14:52	20.87 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT121D22.11081317.log
BMT121D26	11081324	00:12:37	18.59 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT121D26.11081324.log
BMT121D-6	11081296	00:17:18	8.03 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT121D-6.11081296.log
BMT123D0	11081338	00:21:42	22.94 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT123D0.11081338.log
BMT123D-8	11081331	00:04:11	10.05 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT123D-8.11081331.log
BMT124D0	11081352	00:14:30	20.21 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT124D0.11081352.log
BMT124D-13	11081345	00:23:34	31.12 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT124D-13.11081345.log
BMT124D17	11081359	00:11:30	16.94 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT124D17.11081359.log
BMT124D7	11081366	00:14:34	20.30 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT124D7.11081366.log
BMT125D0	11081380	00:12:16	19.11 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT125D0.11081380.log
BMT125D-14	11081373	00:12:26	15.01 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT125D-14.11081373.log
BMT125D21	11081387	00:28:20	37.40 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT125D21.11081387.log
BMT125D7	11081394	00:07:41	14.86 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT125D7.11081394.log
BMT126d1	11081422	00:11:49	10.23 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT126d1.11081422.log
BMT126D-12	11081401	00:52:50	89.42 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT126D-12.11081401.log
BMT126D21	11081408	00:24:11	33.13 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT126D21.11081408.log
BMT126D2	11122482	00:37:12	48.74 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT126D2.11122482.log
BMT126D8	11081415	00:15:08	21.16 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT126D8.11081415.log
BMT127D1	11081436	00:10:38	18.65 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT127D1.11081436.log
BMT127D-13	11081429	00:27:38	35.80 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT127D-13.11081429.log
BMT127D21	11081443	00:29:20	39.29 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT127D21.11081443.log
BMT127D6	11081450	00:19:36	27.54 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT127D6.11081450.log
BMT128D-14	11081457	00:25:08	19.08 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT128D-14.11081457.log
BMT129D0	11081471	00:24:36	39.14 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT129D0.11081471.log
BMT129D15	11081478	00:17:42	24.03 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT129D15.11081478.log
BMT129D23	11081485	00:13:02	21.53 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT129D23.11081485.log
BMT129D28	11081492	00:12:15	20.73 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT129D28.11081492.log
BMT129D-6	11081464	00:17:52	16.17 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT129D-6.11081464.log
BMT130D0	11098915	00:25:56	28.85 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT130D0.11098915.log
BMT130D20	11098919	00:13:47	9.78 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT130D20.11098919.log
BMT130D25	11098923	00:21:58	17.42 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT130D25.11098923.log
BMT130D-4	11081499	00:11:52	21.97 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT130D-4.11081499.log
BMT130D7	11098927	00:19:17	9.26 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT130D7.11098927.log
BMT131D0	11098935	00:23:16	7.90 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT131D0.11098935.log
BMT131D14	11098939	00:16:19	10.79 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT131D14.11098939.log
BMT131D22	11098943	00:14:14	9.18 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT131D22.11098943.log
BMT131D267	11122486	00:23:43	11.51 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT131D267.11122486.log
BMT131D-6	11098931	00:11:56	18.14 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT131D-6.11098931.log
BMT131D7	11098947	00:13:43	11.95 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT131D7.11098947.log
BMT132D3	11098951	00:11:16	7.37 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT132D3.11098951.log
BMT132PRE	11122490	00:25:28	8.83 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT132PRE.11122490.log
BMT133D1	11098963	00:17:59	27.94 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT133D1.11098963.log
BMT133D15	11098959	00:15:35	25.72 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT133D15.11098959.log
BMT133D26	11098967	00:17:29	15.66 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT133D26.11098967.log
BMT133D-6	11098955	00:10:47	18.50 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT133D-6.11098955.log
BMT134D15	11098971	00:22:07	10.87 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT134D15.11098971.log
BMT134D186	11122494	00:20:58	27.03 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT134D186.11122494.log
BMT134D2	11098975	00:15:06	25.53 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT134D2.11098975.log
BMT134D8	11098979	00:24:19	21.00 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT134D8.11098979.log
BMT134pre	11098983	00:20:11	32.30 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT134pre.11098983.log
BMT138D5	11098987	00:15:35	10.81 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT138D5.11098987.log
BMT138pre	11098991	00:27:54	45.06 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT138pre.11098991.log
BMT140D13	11098995	00:07:35	15.81 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT140D13.11098995.log
BMT140D14	11098999	00:29:48	37.34 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT140D14.11098999.log
BMT140D62	11099003	00:20:18	24.58 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT140D62.11099003.log
BMT140D75	11099007	00:25:08	37.81 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT140D75.11099007.log
BMT140D87	11122498	00:34:09	26.61 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT140D87.11122498.log
BMT140pre	11099011	00:34:02	30.92 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT140pre.11099011.log
BMT141D14	11122502	00:27:42	37.96 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT141D14.11122502.log
BMT141D163	11122506	00:23:17	43.16 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT141D163.11122506.log
BMT141pre	11099015	00:19:42	25.73 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT141pre.11099015.log
BMT142D1	11122510	00:16:21	20.43 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT142D1.11122510.log
BMT142D8	11099019	00:14:33	24.73 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT142D8.11099019.log
BMT142pre	11099023	00:18:39	30.44 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT142pre.11099023.log
BMT144D207	11122514	00:18:59	25.97 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT144D207.11122514.log
BMT144PRE	11122518	00:27:44	53.00 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT144PRE.11122518.log
BMT146D142	11122522	00:32:57	42.69 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT146D142.11122522.log
BMT146D2	11099027	00:11:14	19.83 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT146D2.11099027.log
BMT146D42	11099031	00:11:32	20.63 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT146D42.11099031.log
BMT146D52	11122438	00:05:32	6.24 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT146D52.11122438.log
BMT146D57	11122526	00:20:46	28.06 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT146D57.11122526.log
BMT146D69	11122530	00:24:33	46.98 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT146D69.11122530.log
BMT146pre	11122442	00:13:01	9.24 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT146pre.11122442.log
BMT148D67	11122534	00:27:21	23.47 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT148D67.11122534.log
BMT148PRE	11122538	00:32:46	61.17 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT148PRE.11122538.log
BMT149D12	11122446	00:13:37	13.85 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT149D12.11122446.log
BMT149D17	11122450	00:13:41	7.37 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT149D17.11122450.log
BMT149D24	11122454	00:17:44	16.73 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT149D24.11122454.log
BMT149D28	11122542	00:21:59	43.15 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT149D28.11122542.log
BMT149pre	11122458	00:16:28	9.14 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT149pre.11122458.log
BMT151D1	11122462	00:11:38	20.57 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT151D1.11122462.log
BMT151D114	11122546	00:24:39	27.41 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT151D114.11122546.log
BMT151D15	11122550	00:16:02	17.17 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT151D15.11122550.log
BMT151D43	11122554	00:19:05	30.25 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT151D43.11122554.log
BMT151pre	11122466	00:12:38	12.39 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT151pre.11122466.log
BMT152PRE	11122470	00:11:05	7.91 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT152PRE.11122470.log
BMT153D1	11122566	00:24:56	22.97 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT153D1.11122566.log
BMT153D142	11122558	00:32:31	48.50 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT153D142.11122558.log
BMT153D183	11122562	00:23:41	33.94 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT153D183.11122562.log
BMT153D73	11122570	00:20:55	39.60 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT153D73.11122570.log
BMT153D99	11122574	00:22:01	32.09 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT153D99.11122574.log
BMT153pre	11122474	00:22:43	10.49 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT153pre.11122474.log
BMT164D183	11122578	00:23:28	44.44 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT164D183.11122578.log
BMT164D26	11122582	00:32:42	46.79 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT164D26.11122582.log
BMT164D7	11122586	00:22:07	38.53 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT164D7.11122586.log
BMT164D9	11122590	00:22:26	35.78 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT164D9.11122590.log
BMT165D1	11122594	00:22:08	36.36 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT165D1.11122594.log
BMT165D22	11122598	00:22:26	33.60 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT165D22.11122598.log
BMT165D29	11122602	00:21:25	41.26 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT165D29.11122602.log
BMT165D8	11122606	00:20:51	25.39 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT165D8.11122606.log
BMT165PRE	11122610	00:26:45	37.67 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT165PRE.11122610.log
BMT166D5	11122614	00:50:35	61.91 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT166D5.11122614.log
BMT166PRE	11122618	00:36:05	54.16 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT166PRE.11122618.log
BMT168D11	11122622	00:18:16	21.95 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT168D11.11122622.log
