SampleID	JobID	WallTime	MemUsed	State	Log
BMT125D7	11081395	00:23:00	4.48 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT125D7.11081395.log
BMT126d1	11081423	00:36:15	7.05 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT126d1.11081423.log
BMT126D-12	11081402	02:43:30	21.03 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT126D-12.11081402.log
BMT126D21	11081409	00:59:26	11.44 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT126D21.11081409.log
BMT126D2	11122483	01:24:13	15.83 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT126D2.11122483.log
BMT126D8	11081416	00:37:17	7.21 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT126D8.11081416.log
BMT127D1	11081437	00:32:52	5.53 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT127D1.11081437.log
BMT127D-13	11081430	01:09:27	6.00 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT127D-13.11081430.log
BMT127D21	11081444	01:10:52	7.93 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT127D21.11081444.log
BMT127D6	11081451	00:57:02	6.98 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT127D6.11081451.log
BMT128D-14	11081458	01:21:05	12.07 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT128D-14.11081458.log
BMT129D0	11081472	01:26:24	11.43 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT129D0.11081472.log
BMT129D15	11081479	00:42:47	8.46 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT129D15.11081479.log
BMT129D23	11081486	00:39:43	7.71 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT129D23.11081486.log
BMT129D28	11081493	00:37:51	7.37 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT129D28.11081493.log
BMT129D-6	11081465	00:55:13	5.63 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT129D-6.11081465.log
BMT130D0	11098916	01:03:44	11.16 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT130D0.11098916.log
BMT130D20	11098920	00:34:42	6.16 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT130D20.11098920.log
BMT130D25	11098924	00:52:38	9.93 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT130D25.11098924.log
BMT130D-4	11081500	00:36:43	7.01 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT130D-4.11081500.log
BMT130D7	11098928	00:47:18	6.12 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT130D7.11098928.log
BMT131D0	11098936	00:57:49	13.64 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT131D0.11098936.log
BMT131D14	11098940	00:37:14	6.93 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT131D14.11098940.log
BMT131D22	11098944	00:32:56	4.79 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT131D22.11098944.log
BMT131D267	11122487	00:59:29	10.82 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT131D267.11122487.log
BMT131D-6	11098932	00:37:29	5.27 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT131D-6.11098932.log
BMT131D7	11098948	00:39:17	7.74 GB	COMPLETED	UNC_short/0.3_sequence_trim/logs/BMT131D7.11098948.log
