SampleID	JobID	WallTime	MemUsed	State	Log
BMT126D-12	11165570	01:54:57	12.82 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT126D-12.11165570.log
BMT126D21	11165573	01:05:56	5.45 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT126D21.11165573.log
BMT126D2	11165741	01:09:41	6.83 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT126D2.11165741.log
BMT126D8	11165576	00:24:49	3.62 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT126D8.11165576.log
BMT127D1	11165585	00:32:34	1.76 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT127D1.11165585.log
BMT127D-13	11165582	01:07:58	4.84 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT127D-13.11165582.log
BMT127D21	11165588	01:17:05	4.60 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT127D21.11165588.log
BMT127D6	11165591	00:59:46	4.89 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT127D6.11165591.log
BMT128D-14	11165594	01:17:13	2.77 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT128D-14.11165594.log
BMT129D0	11165600	01:23:47	4.37 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT129D0.11165600.log
BMT129D15	11165603	00:44:38	4.62 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT129D15.11165603.log
BMT129D23	11165606	00:36:15	3.76 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT129D23.11165606.log
BMT129D28	11165609	00:39:33	3.62 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT129D28.11165609.log
BMT129D-6	11165597	00:55:10	4.35 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT129D-6.11165597.log
BMT130D0	11165615	01:02:55	3.97 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT130D0.11165615.log
BMT130D20	11165618	00:33:24	3.67 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT130D20.11165618.log
BMT130D25	11165621	00:53:43	4.96 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT130D25.11165621.log
BMT130D-4	11165612	00:25:12	3.80 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT130D-4.11165612.log
BMT130D7	11165624	00:47:21	2.61 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT130D7.11165624.log
BMT131D0	11165630	01:12:00	3.53 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT131D0.11165630.log
BMT131D14	11165633	00:29:40	4.01 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT131D14.11165633.log
BMT131D22	11165636	00:38:08	3.56 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT131D22.11165636.log
BMT131D267	11165744	01:08:46	2.84 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT131D267.11165744.log
BMT131D-6	11165627	00:37:03	3.25 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT131D-6.11165627.log
BMT131D7	11165639	00:41:38	4.15 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT131D7.11165639.log
BMT132D3	11165642	00:34:06	3.40 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT132D3.11165642.log
BMT132PRE	11165747	01:09:14	2.77 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT132PRE.11165747.log
BMT133D1	11165651	00:59:27	2.49 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT133D1.11165651.log
BMT133D15	11165648	00:34:50	3.74 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT133D15.11165648.log
BMT133D26	11165654	00:41:33	2.27 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT133D26.11165654.log
