SampleID	JobID	WallTime	MemUsed	Nodes	Cores	CPU_Util	State	Log
D20215D22	10678227	00:18:30	31.13 GB	1	32	00:37:09	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D22.10678227.log
D20215D28	10678234	00:18:05	27.95 GB	1	32	00:36:56	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D28.10678234.log
D20215D37	10678241	00:16:20	26.90 GB	1	32	00:32:07	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D37.10678241.log
D20215D70	10678248	00:14:56	25.77 GB	1	32	00:30:25	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D70.10678248.log
D20215D91	10678255	00:17:42	29.49 GB	1	32	00:35:48	COMPLETED	Duke_short/0.2_deduplication/logs/D20215D91.10678255.log
D20215PRE	10678262	00:21:16	31.77 GB	1	32	00:42:34	COMPLETED	Duke_short/0.2_deduplication/logs/D20215PRE.10678262.log
D20231D1	10678269	00:17:14	28.68 GB	1	32	00:33:59	COMPLETED	Duke_short/0.2_deduplication/logs/D20231D1.10678269.log
D20231D14	10678276	00:22:12	31.50 GB	1	32	00:42:59	COMPLETED	Duke_short/0.2_deduplication/logs/D20231D14.10678276.log
D20231D188	10678283	00:17:47	27.63 GB	1	32	00:33:59	COMPLETED	Duke_short/0.2_deduplication/logs/D20231D188.10678283.log
D20231D21	10678290	00:19:46	25.45 GB	1	32	00:38:49	COMPLETED	Duke_short/0.2_deduplication/logs/D20231D21.10678290.log
D20231D29	10678297	00:18:34	30.51 GB	1	32	00:35:50	COMPLETED	Duke_short/0.2_deduplication/logs/D20231D29.10678297.log
D20231D69	10678304	00:19:03	22.51 GB	1	32	00:36:26	COMPLETED	Duke_short/0.2_deduplication/logs/D20231D69.10678304.log
D20231D90	11080884	00:18:14	29.69 GB	1	32	00:37:02	COMPLETED	Duke_short/0.2_deduplication/logs/D20231D90.11080884.log
D20231PRE	10678980	00:22:07	26.67 GB	1	32	00:44:11	COMPLETED	Duke_short/0.2_deduplication/logs/D20231PRE.10678980.log
D20236D0	10678987	00:07:36	15.85 GB	1	32	00:15:13	COMPLETED	Duke_short/0.2_deduplication/logs/D20236D0.10678987.log
