SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Cyanobacteriota	Firmicutes	Fusobacteriota	Lentisphaerota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
BMT125D7	7.82708755521582	18.408577091971	0	0	0.0060815013206887	0	0	57.2644611627878	0	0	0	0	1.43095347835067	0	15.06283	0
BMT126D-12	6.27847829111652	1.37954048891321	0	0	0.0115224456588139	0	0	74.0166334809319	0	0	0.830532270434693	0	0	0.0223020402364721	17.46099	0
BMT126d1	17.8541597173456	3.20998972455756	0	0	0	0	0	62.3004259628563	0	0	0.452418990648091	0	0	0	16.18301	0
BMT126D21	8.30069329598361	10.0184779299397	0	0	0.0093868906416615	0	0	63.4387901443293	0	0	0	0	0	0	18.23266	0
BMT126D2	16.6074145898226	3.79888986635419	0	0	0.023851957442411	0	0	55.8598932933993	0	0	2.26354683180253	0	0	0.0232939709585852	21.41035	0.0127550994823832
BMT126D8	7.97403087127165	17.2704861674641	0	0	0.006348013899268	0	0	55.5337081818407	0	0	0.362648558741563	0	0	0.0272997068327858	18.82335	0.0021268281861997
BMT127D-13	15.0125424517354	22.445620548762	0	0	0	0	0	47.13386985175	0	0	2.43645802833356	0	0.353748636341283	0.0437488691734229	9.23471	3.3392912789168
BMT127D1	0.0326779715466868	22.92396793693	0	0	0	0	0	36.988723057752	0	0	12.1888833869142	0	0.311108344165984	0	21.91644	5.63820333300617
BMT127D21	5.18667726468719	0.0441036627378968	0	0	0	0	0	72.1246390706786	0.0347521221007725	0	0.156596706291774	0	0	0.0032197920165187	16.80124	5.64877149825171
BMT127D6	1.49392418086058	33.8977033802392	0.0651117860762457	0	0.123825970931318	0	0	14.1692137481694	0	0	0	0	0	0	11.26767	38.9825540984081
BMT128D-14	5.3060816358165	14.3074817145443	0	0	0	0	0	58.6793506211755	0	0	0.406049843760901	0	0.522616617129645	0	12.29646	8.48195832970131
BMT129D0	2.50610510220821	18.5699473335106	0	0	0	0	0	54.4771394165562	0	0	0.0758060026670648	0	0.299157817423134	0	23.99639	0.0754487856903903
BMT129D15	3.99027992292991	20.2974976295892	0	0	0	0	0	49.8876644006678	0	0	0.607069696399387	0	0.586123523144515	0	24.62694	0.0044243985968369
BMT129D23	1.84557859755776	29.6025513218674	0	0	0	0	0	37.8236094792173	0	0	0.520339216167589	0	0.626821541550956	0	29.56586	0.0152349034134292
BMT129D28	6.52753742533897	8.73840944170807	0	0	0	0	0	61.0671657340686	0	0	0.0007583862180554	0	0.270789842646883	0	23.39533	0
BMT129D-6	2.72368009942453	20.7467702284251	0	0	0	0	0	52.5584320260027	0	0	0.0754998248885814	0	0.350835020042317	0	23.46698	0.077803468810676
BMT130D0	4.70656989999278	17.1163771300284	0	0	0	0	0	61.6656380558771	0	0	0.116163950308605	0	0.257601363368547	0.0468884826874084	16.09076	0
BMT130D20	3.91218234899094	5.44620821261412	0	0	0	0	0	74.8917205600855	0	0	0	0	0	0.0407293341082419	15.70916	0
BMT130D25	6.93599191574975	1.86709705393079	0	0	0	0	0	76.952431669694	0	0	0	0	0	0.0249192177785029	14.21956	0
BMT130D-4	6.45625099590734	32.9933523463459	0	0	0	0	0	40.5803350403807	0	0	0.122265562270194	0.001533135661345	0.092509887418854	0.0226277980593275	19.73112	0
BMT130D7	2.82369030085512	30.6271225866894	0.0025177723391414	0	0.101512786810657	0	0	52.6202778494743	0.0499674339223443	0	0	0	0	0	13.77492	0
BMT131D0	3.3144089368021	24.3203819459519	0	0.380635279046449	0	0	0	44.6009535933849	0	0	0.569287064791508	3.46480352888308	2.10797793583164	0	17.93824	3.30331418651599
BMT131D14	8.37319969080237	16.3350601286201	0	0	0	0	0	49.5447292761388	0	0	0	1.89977502834115	4.54313044679344	0	19.30411	0
BMT131D22	4.00387106429225	0.207146481249315	0	0	0.0071240622939642	0	0	81.5622570176574	0	0	0	0.171682933986451	1.13914452810297	0	12.90877	0
