SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Cyanobacteriota	Firmicutes	Fusobacteriota	Lentisphaerota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
BMT113D-12	9665858	5742168	0	0	0	0	0	9335657	0	0	18908	0	35748	0	4192780	12313
BMT114D-36	23580	0	0	0	0	0	0	26423996	0	0	0	0	0	0	4559646	0
BMT114D25	1926615	11586	0	0	8078	0	0	25041298	0	0	0	0	0	0	1719332	0
BMT114D28	3405425	137048	0	0	7598	0	0	19955722	0	0	0	0	0	0	2559354	0
BMT115D18	1267906	2527625	0	0	0	0	0	33653145	0	0	0	0	0	0	6730579	0
BMT115D4	211844	37224712	0	0	0	0	0	8360131	0	0	16635	0	0	0	8401597	14700
BMT115pre	685758	6853409	0	0	0	0	0	19506636	0	0	3374435	0	0	0	8168121	10033
BMT116D-3	521361	13356809	0	0	0	0	0	9369154	0	0	61993	0	0	8446	4332530	0
BMT116D1	5195741	970924	0	0	0	0	0	18284191	0	0	1817480	0	0	0	3587247	12964
BMT118D-9	497490	18246622	0	0	0	0	0	6889910	0	0	911797	0	654783	10410	6527661	24268
BMT118D10	630763	5547878	0	0	0	0	0	6921049	0	0	0	0	0	42065	1720354	11937924
BMT118D4	420121	10422815	0	0	2616	0	0	14148073	0	0	0	0	0	12961	3940174	575965
BMT119D-7	804826	4342124	0	0	0	0	0	18733615	0	106059	168618	26545	416739	6979	3173466	317925
BMT119D1	1138540	7811644	0	0	0	0	0	26714220	0	71288	323357	15575	506726	18961	6581367	2534840
BMT119D9	40946	20018380	0	0	0	0	0	4510804	0	0	618383	0	21734	0	2942941	1196803
BMT120D-5	292615	1097488	0	0	0	0	0	8362783	17380	0	23457	0	0	0	2061152	0
BMT120D0	2487046	8001815	0	0	10692	0	0	31336473	80278	0	29666	0	0	0	7574269	0
BMT120D23	5377325	9670116	0	0	0	0	0	7657631	15899	0	0	0	0	0	4388842	0
BMT120D6	202004	28185087	0	0	0	0	0	6954530	473724	0	0	0	0	0	3822556	11201
BMT121D-6	2360845	4568716	0	0	0	0	0	23358698	0	0	145269	0	12641	17072	6237660	0
BMT121D0	415247	2652198	0	0	0	0	0	20756700	0	0	0	0	0	12523	2649810	0
BMT121D15	6555491	32498659	0	0	17663	0	0	11371643	0	0	0	0	83058	38101	7715413	0
BMT121D22	3577555	10466847	0	0	4757	0	0	11747343	0	0	0	0	48875	25051	5020981	0
BMT121D26	6462842	1491411	0	0	5689	0	0	16797272	0	0	0	0	23515	18565	3685306	0
BMT123D-8	662065	1408825	0	0	0	0	0	6970991	0	0	0	0	0	8687	1142445	288816
BMT123D0	558240	17709586	0	0	2169	0	0	19929819	0	0	627857	3065757	0	0	6387062	9818
BMT124D-13	1670015	6442653	0	272499	0	0	0	28902629	0	0	332833	0	475116	0	11736392	0
