Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BMT126D21_1	39.458600118978474	45.0	151.0	151	18.181818181818183	34176023.0
BMT126D21_2	38.376084801878605	44.0	151.0	151	18.181818181818183	34176023.0
BMT126D2_1	46.627165693255535	46.0	151.0	151	18.181818181818183	59461581.0
BMT126D2_2	45.63196914380626	46.0	151.0	151	18.181818181818183	59461581.0
BMT126D8_1	26.599963003728078	45.0	151.0	151	27.27272727272727	19539478.0
BMT126D8_2	25.919138558734403	44.0	151.0	151	27.27272727272727	19539478.0
BMT126d1_1	25.627935236126163	47.0	151.0	151	27.27272727272727	18604005.0
BMT126d1_2	24.33907475354897	46.0	151.0	151	27.27272727272727	18604005.0
BMT127D-13_1	33.200430521433006	46.0	151.0	151	18.181818181818183	36344609.0
BMT127D-13_2	30.678929318938913	46.0	151.0	151	18.181818181818183	36344609.0
BMT127D1_1	28.238019184901418	45.0	151.0	151	27.27272727272727	16432318.0
BMT127D1_2	26.39370928757583	45.0	151.0	151	27.27272727272727	16432318.0
BMT127D21_1	52.48465428248346	46.0	151.0	151	27.27272727272727	41462456.0
BMT127D21_2	52.27902596296535	44.0	151.0	151	27.27272727272727	41462456.0
BMT127D6_1	40.080052961771194	49.0	151.0	151	18.181818181818183	33833378.0
BMT127D6_2	38.2917115834495	48.0	151.0	151	9.090909090909092	33833378.0
BMT128D-14_1	33.844689526263736	46.0	151.0	151	18.181818181818183	40835137.0
BMT128D-14_2	31.940196531097058	46.0	151.0	151	18.181818181818183	40835137.0
BMT129D-6_1	20.954101863608145	48.0	151.0	151	18.181818181818183	27268556.0
BMT129D-6_2	19.343273642933482	47.0	151.0	151	18.181818181818183	27268556.0
BMT129D0_1	25.50220002737575	47.0	151.0	151	18.181818181818183	40347902.0
BMT129D0_2	25.227087417494644	46.0	151.0	151	18.181818181818183	40347902.0
BMT129D15_1	19.920652914898383	47.0	151.0	151	18.181818181818183	23207430.0
BMT129D15_2	19.674803621409254	47.0	151.0	151	18.181818181818183	23207430.0
BMT129D23_1	20.86877334761617	46.0	151.0	151	27.27272727272727	19459265.0
BMT129D23_2	18.55307153106645	46.0	151.0	151	27.27272727272727	19459265.0
BMT129D28_1	17.010656305360015	46.0	151.0	151	27.27272727272727	19338931.0
BMT129D28_2	17.017288667728394	45.0	151.0	151	27.27272727272727	19338931.0
BMT130D-4_1	39.392362392691496	44.0	151.0	151	9.090909090909092	21628814.0
BMT130D-4_2	35.84558830288968	44.0	151.0	151	9.090909090909092	21628814.0
BMT130D0_1	22.739222253734127	47.0	151.0	151	18.181818181818183	33485573.0
BMT130D0_2	21.43459149769292	46.0	151.0	151	18.181818181818183	33485573.0
BMT130D20_1	22.550038437757806	45.0	151.0	151	18.181818181818183	17757057.0
BMT130D20_2	21.340736765692697	44.0	151.0	151	18.181818181818183	17757057.0
BMT130D25_1	25.06670309584422	47.0	151.0	151	18.181818181818183	29172406.0
BMT130D25_2	24.687686142963756	46.0	151.0	151	18.181818181818183	29172406.0
BMT130D7_1	30.565755709395745	44.0	151.0	151	18.181818181818183	25923849.0
BMT130D7_2	28.510112461017826	43.0	151.0	151	18.181818181818183	25923849.0
BMT131D-6_1	21.59887888014083	47.0	151.0	151	18.181818181818183	18798553.0
BMT131D-6_2	20.19856189074723	47.0	151.0	151	18.181818181818183	18798553.0
BMT131D0_1	23.164218516702803	49.0	151.0	151	18.181818181818183	35850856.0
BMT131D0_2	21.574458357622163	49.0	151.0	151	18.181818181818183	35850856.0
BMT131D14_1	19.951442218538475	49.0	151.0	151	18.181818181818183	21740433.0
BMT131D14_2	19.466443301029983	48.0	151.0	151	18.181818181818183	21740433.0
BMT131D22_1	27.56668016394066	47.0	151.0	151	18.181818181818183	18481495.0
BMT131D22_2	26.66141555484286	46.0	151.0	151	18.181818181818183	18481495.0
BMT131D267_1	41.04941272898169	41.0	151.0	151	18.181818181818183	40106206.0
BMT131D267_2	40.480370326489734	42.0	151.0	151	27.27272727272727	40106206.0
BMT131D7_1	20.29608418489434	48.0	151.0	151	18.181818181818183	22232036.0
BMT131D7_2	19.83710066288357	47.0	151.0	151	18.181818181818183	22232036.0
BMT132D3_1	23.36642588516642	43.0	151.0	151	18.181818181818183	18837534.0
BMT132D3_2	22.860877382285423	43.0	151.0	151	18.181818181818183	18837534.0
BMT132PRE_1	40.612403485679515	43.0	151.0	151	9.090909090909092	43932231.0
BMT132PRE_2	40.55149222883554	44.0	151.0	151	18.181818181818183	43932231.0
BMT133D-6_1	32.685318239700095	43.0	151.0	151	18.181818181818183	16626917.0
BMT133D-6_2	30.527166897174567	43.0	151.0	151	18.181818181818183	16626917.0
BMT133D15_1	36.80023787490142	46.0	151.0	151	18.181818181818183	25255388.0
BMT133D15_2	35.15315389790675	46.0	151.0	151	18.181818181818183	25255388.0
BMT133D1_1	43.09609048577453	45.0	151.0	151	18.181818181818183	30042476.0
BMT133D1_2	41.98726645243001	45.0	151.0	151	18.181818181818183	30042476.0
BMT133D26_1	32.3009152519178	44.0	151.0	151	18.181818181818183	21817955.0
BMT133D26_2	30.75316128580343	44.0	151.0	151	18.181818181818183	21817955.0
BMT134D15_1	30.737723872027615	51.0	151.0	151	18.181818181818183	35022321.0
BMT134D15_2	26.548062378460017	50.0	151.0	151	18.181818181818183	35022321.0
BMT134D186_1	35.69767996852869	44.0	151.0	151	9.090909090909092	34679527.0
BMT134D186_2	35.357126419492374	45.0	151.0	151	18.181818181818183	34679527.0
