Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D19754D19_1	65.18691855536476	43.0	140.77137481068425	150	18.181818181818183	57646417.0
D19754D19_2	63.17870352231243	43.0	140.7509009449798	150	18.181818181818183	57646417.0
D19754D26_1	56.49828400170193	42.0	136.7045601429981	150	18.181818181818183	22853450.0
D19754D26_2	55.85836607267902	42.0	136.71410115321757	147	18.181818181818183	22853450.0
D19754D384_1	26.052437764701182	47.0	139.72561272278702	150	9.090909090909092	5399383.0
D19754D384_2	25.51012209596719	47.0	139.69871409381406	147	9.090909090909092	5399383.0
D19754D55_1	58.17640184125877	47.0	125.01350288377992	147	18.181818181818183	25329256.0
D19754D55_2	55.737938767798916	47.0	125.00742722170757	147	27.27272727272727	25329256.0
D19754D8_1	63.229738894034725	44.0	131.857947328937	147	18.181818181818183	20830527.0
D19754D8_2	59.788436818749794	44.0	131.83239065435072	147	18.181818181818183	20830527.0
D19836D0_1	43.795316883839874	44.0	137.38203979225935	150	9.090909090909092	25816227.0
D19836D0_2	42.226972551025035	44.0	137.35072530157098	147	9.090909090909092	25816227.0
D19836D13_1	23.848602166655326	43.0	95.00966278503955	92	9.090909090909092	24788402.0
D19836D13_2	23.71508240277109	43.0	95.007849719397	92	9.090909090909092	24788402.0
D19836D189_1	38.098850699666755	45.0	136.96945792155924	147	9.090909090909092	25718289.0
D19836D189_2	37.39955280058399	45.0	136.9555735997834	147	9.090909090909092	25718289.0
D19836D21_1	65.22594521895977	38.0	142.16871333678867	150	18.181818181818183	20750535.0
D19836D21_2	62.037492843148755	38.0	142.1270993735824	150	18.181818181818183	20750535.0
D19836D29_1	41.65130375591279	44.0	135.1683981034763	147	18.181818181818183	29598154.0
D19836D29_2	39.36110435978561	44.0	135.01439441121903	147	18.181818181818183	29598154.0
D19836D365_1	32.881047703706315	46.0	125.21336700930777	147	9.090909090909092	51019954.0
D19836D365_2	31.39178282567272	46.0	125.22471558872829	147	9.090909090909092	51019954.0
D19836D56_1	47.40286709337921	44.0	138.58111142126262	150	9.090909090909092	30705423.0
D19836D56_2	44.63989075470869	44.0	138.54698018652925	150	9.090909090909092	30705423.0
D19836D8_1	26.77551914396456	40.0	141.2407995181816	151	18.181818181818183	9482411.0
D19836D8_2	26.963131218055565	40.0	141.23765232281116	151	18.181818181818183	9482411.0
D19836D92_1	36.084830288574054	43.0	135.1410389826386	147	9.090909090909092	23653581.0
D19836D92_2	33.3363624439734	43.0	135.12137261584198	147	9.090909090909092	23653581.0
D19836PRE_1	20.45816284566523	44.0	93.39693906585606	87	9.090909090909092	27750156.0
D19836PRE_2	20.38903745346542	44.0	93.42432316416527	87	9.090909090909092	27750156.0
D19840D106_1	27.866279118477053	45.0	131.45872630691449	147	9.090909090909092	34751700.0
D19840D106_2	26.411005723299468	45.0	131.43580909710892	147	9.090909090909092	34751700.0
D19840D12_1	51.911696873140905	40.0	133.28296618788863	147	18.181818181818183	27710544.0
D19840D12_2	49.26468247447268	40.0	133.274621530346	147	9.090909090909092	27710544.0
D19840D15_1	45.778048386804485	45.0	131.3938716828407	147	18.181818181818183	22593315.0
D19840D15_2	43.25242420931893	45.0	131.3394193813524	147	18.181818181818183	22593315.0
D19840D196_1	16.55121642636537	44.0	109.16029408265908	117	9.090909090909092	25554992.0
D19840D196_2	15.997792708192165	44.0	109.1568358542237	117	9.090909090909092	25554992.0
D19840D19_1	33.50768062181109	42.0	136.44480317912942	150	9.090909090909092	18309415.0
D19840D19_2	31.113745738404475	42.0	136.43702963748433	147	9.090909090909092	18309415.0
D19840D368_1	24.76606211390569	44.0	137.6087448725989	150	9.090909090909092	31658826.0
D19840D368_2	22.183341025106202	44.0	137.57088459313053	147	9.090909090909092	31658826.0
D19840D63_1	36.294656124915626	44.0	136.13130785471557	150	9.090909090909092	33303141.0
D19840D63_2	33.28193049874824	44.0	136.10213132749251	147	9.090909090909092	33303141.0
D19840D6_1	43.78699434198737	44.0	126.3203830027594	147	18.181818181818183	27458810.0
D19840D6_2	41.89384819389996	44.0	126.2623269180274	147	18.181818181818183	27458810.0
D19840D767_1	25.86373267306456	45.0	135.36233754104063	147	9.090909090909092	33158913.0
D19840D767_2	23.533908291554894	45.0	135.36585771071566	147	9.090909090909092	33158913.0
D19840PRE_1	20.21783338695154	47.0	141.9225365174323	150	9.090909090909092	25755439.0
D19840PRE_2	18.985686801994945	47.0	141.87729481139885	150	9.090909090909092	25755439.0
D20117D108_1	25.473296965137223	46.0	138.4958209234431	150	9.090909090909092	34767968.0
D20117D108_2	25.01945491006478	46.0	138.48229096966494	147	9.090909090909092	34767968.0
D20117D12_1	25.670933183857954	44.0	137.82398043864592	150	9.090909090909092	25287002.0
D20117D12_2	24.02565346657468	44.0	137.80725757841915	150	9.090909090909092	25287002.0
D20117D196_1	26.441874899553284	44.0	136.9830802130786	150	9.090909090909092	31574452.0
D20117D196_2	25.030614140312025	44.0	136.95371365431774	147	9.090909090909092	31574452.0
D20117D20_1	64.81593193527898	41.0	135.9677425087405	150	18.181818181818183	29317500.0
D20117D20_2	60.19048941709751	41.0	135.88536297433274	147	18.181818181818183	29317500.0
D20117D267_1	25.31929266999431	46.0	135.27978529673615	147	9.090909090909092	34186532.0
D20117D267_2	23.87881616625232	46.0	135.22715489245883	147	9.090909090909092	34186532.0
D20117D29_1	59.10640975964608	49.0	135.87668814561744	147	27.27272727272727	41175506.0
D20117D29_2	57.5731583408618	49.0	135.8423416581693	147	27.27272727272727	41175506.0
D20117D357_1	28.579199530840853	49.0	139.92057159279688	150	9.090909090909092	32300547.0
D20117D357_2	26.004998519185065	49.0	139.84932471886623	150	9.090909090909092	32300547.0
D20117D44_1	45.30417029433824	43.0	134.26975509814605	147	9.090909090909092	28127676.0
D20117D44_2	41.907517482231135	43.0	134.27288667574243	147	9.090909090909092	28127676.0
D20117D4_1	43.26227691449556	42.0	121.5076444826241	147	9.090909090909092	23337616.0
D20117D4_2	41.20275791600546	42.0	121.58036356412754	147	9.090909090909092	23337616.0
D20117D537_1	21.77459651502636	46.0	136.2083524291749	147	9.090909090909092	23386418.0
D20117D537_2	19.84869563996105	46.0	136.1889345345662	147	9.090909090909092	23386418.0
D20117D743_1	22.946491001316517	45.0	130.8289489500414	147	9.090909090909092	34965807.0
D20117D743_2	22.043739726569882	45.0	130.7935430748102	147	9.090909090909092	34965807.0
D20117D76_1	20.71710864103747	46.0	132.1241392444771	147	9.090909090909092	25875669.0
D20117D76_2	19.218936009881176	46.0	132.0971317108748	147	9.090909090909092	25875669.0
D20117PRE_1	38.87344186544236	48.0	133.84192360731782	147	9.090909090909092	40435051.0
D20117PRE_2	36.38342122528828	48.0	133.8135811922186	147	9.090909090909092	40435051.0
D20215D0_1	52.7422822574999	41.0	129.53040560841933	147	18.181818181818183	20934526.0
D20215D0_2	52.2061606542893	41.0	129.5350487037538	147	18.181818181818183	20934526.0
D20215D16_1	37.16918520189812	44.0	133.51792885633014	147	9.090909090909092	31391043.0
D20215D16_2	35.04375260719473	44.0	133.4807744999107	147	9.090909090909092	31391043.0
D20215D177_1	44.9654036608127	45.0	137.95298592858936	150	9.090909090909092	44622534.0
D20215D177_2	42.91334845358102	45.0	137.917288359285	150	9.090909090909092	44622534.0
D20215D22_1	36.56553819612185	46.0	103.15852939561552	107	18.181818181818183	23439533.0
D20215D22_2	35.74565628922511	46.0	103.13428991951332	107	18.181818181818183	23439533.0
D20215D28_1	48.50058686556624	42.0	124.22672837876424	147	9.090909090909092	23608121.0
D20215D28_2	46.08088510367661	42.0	124.38580753631346	147	9.090909090909092	23608121.0
D20215D37_1	41.615438210089536	41.0	137.83834315926487	150	9.090909090909092	24062180.0
D20215D37_2	39.10582960277541	41.0	137.79542389758535	150	9.090909090909092	24062180.0
D20215D70_1	28.21382517346393	45.0	138.20677493281738	150	9.090909090909092	23257500.0
D20215D70_2	27.164283202594874	45.0	138.20072221863916	150	9.090909090909092	23257500.0
D20215D91_1	32.18374197304573	43.0	135.5049924352932	147	9.090909090909092	27286583.0
