SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D19836D365	1337587	12086123	0	0	0	0	61190261	0	0	385188	0	0	0	14339239	11499
D19836D56	369910	95191	0	0	0	0	41298310	0	0	52575	0	0	0	16736783	11464
D19836D8	1065192	197820	7276	0	0	0	6786549	12859	0	76352	0	0	0	9941246	0
D19836D92	1219969	85227	0	0	0	0	33372226	0	0	0	0	0	0	9481414	14160
D19836PRE	217036	1274192	0	0	0	0	30522429	0	0	168876	0	0	0	3932151	0
D19840D106	53933	20078882	0	0	0	0	30752455	0	0	23411	0	0	0	8803082	3676906
D19840D12	62212	12406347	0	0	0	0	35821302	0	0	0	0	0	0	2498144	137514
D19840D15	60230	11962047	0	0	0	0	9733709	0	0	29192	0	0	0	7717886	11434802
D19840D19	177569	15362984	0	0	0	0	13151574	0	8339	18166	0	0	0	3248437	2359582
D19840D196	435706	16910738	0	0	0	0	18212472	0	0	62536	0	0	8890	3706936	15847
D19840D368	1536254	5779751	0	0	0	0	44301689	0	0	59579	0	14760	10682	8184651	0
D19840D6	20105	34355839	0	0	0	0	3535541	0	0	0	0	0	0	10370716	16345
D19840D63	86868	31328298	0	0	0	0	18004060	0	0	4954426	0	0	0	7966946	13765
D19840D767	1149188	21949180	0	0	0	0	30550228	0	0	320226	0	72548	20335	8001700	9954
D19840PRE	1809031	9119051	0	0	2455	0	28994105	0	0	113931	0	143995	19627	9491386	198486
D20117D108	2489194	16379938	0	0	0	0	38540570	0	0	1384120	0	0	0	4160649	3518277
D20117D12	1041990	11224129	8306	0	0	0	26934475	0	0	39865	0	0	0	7340198	1330608
D20117D196	1556229	12706069	38389	0	0	0	35660470	33103	0	324064	0	46497	0	6708084	2656458
