SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D19688D5	0.773448182953427	1.64749233499573	0	0	0.015796678362492	0	80.5242814582337	0	0	0.0005309807852938	0	0	0	17.03425	0.0041980668337295
D19688D63	15.3917219285435	5.45492067343944	0	0	0	0	58.6901683500805	0	0	0.032191675432639	0	0	0	13.11289	7.31811055101683
D19688D96	9.88307476980616	8.13895992431403	0	0	0	0	57.0828579715466	0	0	0.144123187464628	0	0	0.154567139267895	16.31449	8.28192825172349
D19688PRE	0.511965186072107	22.2620139699873	0	0	0	0	71.2822633195094	0	0	0.113831851257823	0	0	0.116217294674392	5.7137	0
D19754D110	1.28240589445293	0.151738263124301	0	0	0.0041847335517051	0	86.2498851322208	0	0.0033776151308311	0.0014475493417847	0	0	0	12.26974	0.0372064045970259
D19754D12	0.13812	0.00062	0	0	0	0	99.84224	0	0	0	0	0	0	0	0.01902
D19754D171	0.110860656098245	0.0010284607460848	0	0	0	0	92.5178270565186	0	0	0.0228855679534195	0	0	0	7.34588	0.00151952758881
D19754D19	21.1858436452402	0.184100857800553	0.0619302690735004	0	0.006751826220267	0	58.2046958626281	0	0.0053887066409687	0.0658761415398903	0	0	0	20.2854	0
D19754D-1	0.12118109469185	0.0371066416253485	0	0	0.0043482323597246	0	86.109408555962	0	0	0.002398429753975	0	0	0	13.72555	0
D19754D26	21.5108067271406	0.296742168146671	0	0	0	0	44.9157703455639	0	0	0.0201721928273363	0	0	0	33.24887	0.0076363297797726
D19754D384	35.0799366309711	0.0021559497592849	0	0	0	0	55.0531784021839	0	0	0.071831916038436	0	0	0	9.7929	0
D19754D55	1.21954733768575	0.0256244216097648	0	0	0	0	90.8719693114696	0.003779141316548	0	0.050262579510089	0	0	0	7.82582	0.0030048782175479
D19754D8	0.14179	0.00211	0	0	0	0	99.84508	0	0	0.00387	0	0	0	0	0.00715
D19754D-9	0.251571405250443	0.0106145029438662	0	0	0.0348066886558317	0	85.0707408191015	0	0	0.0020580009730263	0	0	0	14.60577	0.0244483684057032
D19836D0	0.0785638186618538	0.0089580936867668	0	0	0	0	89.0385220665533	0	0	0.0092254994684613	0	0	0	10.86474	0
D19836D13	8.80236165906389	0.0598713389937	0	0	0	0	56.0616746354091	0	0	0.0955274693971181	0	0	0	34.95781	0.0227582634588763
D19836D189	3.29907495228529	0.0327287520955915	0	0	0	0	89.6572495173113	0	0	0.0167782519978536	0	0	0	6.99417	0
D19836D21	3.017552206504	0.0120327071515646	0	0	0	0	75.8160139730303	0	0	0.0025626669883738	0	0	0	21.14871	0.0031303962904135
D19836D29	11.8612290564189	0.0501279047296914	0	0	0	0	74.3341748443351	0	0	3.60209293681921	0	0	0	10.14894	0.0034323103794124
D19836D365	1.63022231960581	13.0625985508348	0	0	0	0	68.7293522838501	0	0	0.52587275138325	0	0	0	16.04841	0.0035427570415665
D19836D56	1.12340295917476	0.0239976218932125	0	0	0	0	70.2311688309996	0	0	0.0349393947326177	0	0	0	28.57851	0.0079849229989915
D19836D8	6.73220493266931	0.510345867750035	0.0031526184071536	0	0	0	37.6220509936843	0.0494735902894042	0	0.120177813680698	0	0	0	54.96259	0
D19836D92	3.11138902574098	0.0276445746718198	0	0	0	0	75.3774957682522	0	0	0	0	0	0	21.46428	0.0191862772509249
D19836PRE	0.715569711173439	2.94550949354008	0	0	0	0	85.414205809929	0	0	0.0367587180397314	0	0	0	10.88796	0
D19840D106	0.0660913672481433	25.665297241297	0	0	0	0	51.3639975332202	0	0	0.0027900459919737	0	0	0	13.88747	9.01436303996918
D19840D12	0.0336444391956025	14.7190332416642	0	0	0	0	80.0369256706544	0	0	0	0	0	0	4.90549	0.304901541528718
D19840D15	0.0676849773214852	19.0521647667272	0	0	0	0	25.4029242243843	0	0	0.0050635925966439	0	0	0	18.85268	36.6194878076107
D19840D196	1.10288793590395	32.3330007049938	0	0	0	0	57.0102428187932	0	0	0.100834019140284	0	0	0.0016123298065909	9.41967	0.0317484043376479
D19840D19	1.00353584577826	35.5457189587088	0	0	0	0	43.8802641901076	0	0.0338607224922699	0.001077386624754	0	0	0	9.46331	10.0722340520903
D19840D368	3.281207754411	6.2422745165416	0	0	0	0	76.739035595218	0	0	0.0556935855995069	0	0.0048173958711091	0.0102218579057225	13.66674	0
D19840D63	0.115186844086916	45.6340602969048	0	0	0	0	33.8811120491637	0	0	7.57683639357217	0	0	0	12.77689	0.0159182182688643
D19840D6	0.0215166423850523	65.027054773651	0	0	0	0	13.4531000371026	0	0	0	0	0	0	21.47211	0.026212610321644
D19840D767	2.72945619328946	24.860894026655	0	0	0	0	58.7092972108068	0	0	0.66368563995546	0	0.0987906397523936	0.0444780007561698	12.89072	0.0026916768965249
D19840PRE	4.9490119954519	13.2931115351561	0	0	0.0024535777086565	0	61.7841152124313	0	0	0.206173406072953	0	0.217485775904614	0.0500270728847534	19.02384	0.473791523872923
D20117D108	4.22469252408852	16.1386539098511	0	0	0	0	65.0681278509383	0	0	1.23196997766318	0	0	0	6.25918	7.07737565963213
D20117D12	3.20210702037295	16.2194885644855	0.0050555305849879	0	0	0	61.6825879450156	0	0	0.0250574790636168	0	0	0	15.31775	3.54796628360926
D20117D196	2.69377245539719	16.2114666705002	0.0891242789848604	0	0	0	63.8213990735264	0.0717698999594219	0	0.274873834538466	0	0.0577443660155893	0	11.2308	5.54905159723368
D20117D20	1.65052117265623	89.7280870422838	0	0	0	0	4.13732347594649	0.0196048174388914	0	0.004509490171129	0	0	0	4.45995	0
D20117D267	6.42124811619764	12.5228386862522	0.128548586278845	0	0	0	54.3794428772253	0	0	0.807002024822334	0	0.120750483294633	0	7.60541	18.0147635863858
D20117D29	1.02162499249455	0.127803831009977	0	0	0	0	66.0480387564881	0	0	22.2850332543893	0	0	0	10.48271	0.0347774660974828
D20117D357	24.340413004395	4.02327263645644	0.32453196990453	0	0	0	53.1181849136705	0	0	0.307454729788208	0	0.0649689614554702	0	7.98901	9.83216579037744
D20117D44	1.92158854179851	1.74000693083846	0.0225214606692873	0	0	0	89.6264963846016	0.0524286905713302	0	0.0036415297102081	0	0	0	6.62744	0.0058824710703362
D20117D4	0.05470327377046	90.8353502915135	0	0	0	0	3.82455439985371	0	0	0.0505595173763378	0	0	0	5.1772	0.0576427805946657
D20117D537	14.7310805207018	4.54963758490705	0	0	0	0	69.6479494839808	0	0	0.549584316071329	0	0	0	10.52176	0
D20117D743	11.2078393552471	16.2623041305163	0	0	0	0	60.4778028791864	0	0	0.708558459498249	0	0.13640365236171	0	11.2071	0
D20117D76	6.20405637956834	11.8027719224361	0.421544092480803	0	0	0	55.5228554598142	0	0	0.193249666602666	0	0	0	9.28098	16.5745472667544
D20117PRE	7.40404539610284	13.532053618141	0	0	0	0	37.3380530491951	0	0	0.0063958099202712	0	0	0	8.63129	33.0881561365019
D20215D0	2.10503886600033	0	0	0	0	0	91.0190720838371	0	0	0	0	0	0	6.85586	0.0200166750282511
D20215D16	11.423177525799	0.0205018604465552	0	0	0.010914975896257	0	76.4842880765765	0	0	0.0051540498591511	0	0	0	12.04693	0.009023984906978
D20215D177	0.161437958773715	39.5355760202654	0	0	0	0	52.3478245435285	0	0	0.917080275883093	0	0	0	7.03791	0.0001673317550343
D20215D22	33.7137876641949	0.0991274738978341	0	0	0	0	57.7884465478583	0	0	0.115388855394953	0	0	0	8.28324	0
D20215D28	4.40190133171474	52.1512936423091	0	0	0	0	41.4351528549281	0	0.030589252849131	0.0067845394139739	0	0	0	1.95752	0.0167750678284817
D20215D37	2.48347269448846	0.0511794700029944	0	0	0	0	85.7638505037476	0	0	0.399900590136049	0	0	0	11.30075	0.0008515128458037
D20215D70	13.0141496927988	14.5237427743263	0.0228667100701829	0	0	0	59.1324537643233	0	0	0.0204820512649875	0	0	0	13.28513	0.0011706506861868
